Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
ldbd,conopt,L2,Standard,-142.1201,-142.1201,0.00%,32.68,3,ok,optimal
ldbd,conopt,L2,Transfer,-188.4495,-188.4495,0.00%,110.64,4,ok,optimal
ldbd,conopt,Linf,Standard,-188.4495,-188.4495,0.00%,661.10,3,ok,optimal
ldbd,conopt,Linf,Transfer,-188.4495,-188.4495,0.00%,142.02,4,ok,optimal
ldbd,ipopt,L2,Standard,-142.1201,-142.1201,0.00%,59.46,3,ok,optimal
ldbd,ipopt,L2,Transfer,-188.4495,-188.4495,0.00%,1249.71,4,ok,optimal
ldbd,ipopt,Linf,Standard,-188.4495,-188.4495,0.00%,1909.16,3,ok,optimal
ldbd,ipopt,Linf,Transfer,-188.4495,-188.4495,0.00%,1370.36,4,ok,optimal
ldsda,conopt,L2,Standard,-inf,-188.4495,inf,86.03,3,ok,locallyOptimal
ldsda,conopt,L2,Transfer,-inf,-188.4495,inf,49.17,2,ok,locallyOptimal
ldsda,conopt,Linf,Standard,-inf,-188.4495,inf,1540.13,2,ok,locallyOptimal
ldsda,conopt,Linf,Transfer,-inf,-188.4495,inf,73.99,2,ok,locallyOptimal
ldsda,ipopt,L2,Standard,-inf,-188.4495,inf,779.68,3,ok,locallyOptimal
ldsda,ipopt,L2,Transfer,-inf,-188.4495,inf,170.01,2,ok,locallyOptimal
ldsda,ipopt,Linf,Standard,-inf,-188.4495,inf,4235.36,2,ok,locallyOptimal
ldsda,ipopt,Linf,Transfer,-inf,-188.4495,inf,879.13,2,ok,locallyOptimal
