Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
ldbd,conopt,L2,Standard,-35.6106,-35.6106,0.00%,17.95,3,ok,optimal
ldbd,conopt,L2,Transfer,-52.7922,-52.7922,0.00%,32.80,2,ok,optimal
ldbd,conopt,Linf,Standard,-52.7922,-52.7922,0.00%,89.74,5,ok,optimal
ldbd,conopt,Linf,Transfer,-52.7922,-52.7922,0.00%,51.19,2,ok,optimal
ldbd,ipopt,L2,Standard,-35.6106,-35.6106,0.00%,54.22,3,ok,optimal
ldbd,ipopt,L2,Transfer,-52.7922,-52.7922,0.00%,73.59,2,ok,optimal
ldbd,ipopt,Linf,Standard,-52.7922,-52.7922,0.00%,137.00,7,ok,optimal
ldbd,ipopt,Linf,Transfer,-52.7922,-52.7922,0.00%,82.68,2,ok,optimal
ldsda,conopt,L2,Standard,-inf,-52.7922,inf,66.31,4,ok,locallyOptimal
ldsda,conopt,L2,Transfer,-inf,-52.7922,inf,32.69,2,ok,locallyOptimal
ldsda,conopt,Linf,Standard,-inf,-52.7922,inf,260.49,2,ok,locallyOptimal
ldsda,conopt,Linf,Transfer,-inf,-52.7922,inf,51.53,2,ok,locallyOptimal
ldsda,ipopt,L2,Standard,-inf,-52.7922,inf,96.68,4,ok,locallyOptimal
ldsda,ipopt,L2,Transfer,-inf,-52.7922,inf,73.94,2,ok,locallyOptimal
ldsda,ipopt,Linf,Standard,-inf,-52.7922,inf,322.09,2,ok,locallyOptimal
ldsda,ipopt,Linf,Transfer,-inf,-52.7922,inf,81.64,2,ok,locallyOptimal
