Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
ldbd,conopt,L2,Standard,-87.9790,-87.9790,0.00%,27.63,3,ok,optimal
ldbd,conopt,L2,Transfer,-160.0815,-160.0815,0.00%,91.13,4,ok,optimal
ldbd,conopt,Linf,Standard,-160.0815,-160.0815,0.00%,336.66,2,ok,optimal
ldbd,conopt,Linf,Transfer,-160.0815,-160.0815,0.00%,113.62,4,ok,optimal
ldbd,ipopt,L2,Standard,-87.9790,-87.9790,0.00%,47.76,3,ok,optimal
ldbd,ipopt,L2,Transfer,-160.0808,-160.0808,0.00%,378.43,4,ok,optimal
ldbd,ipopt,Linf,Standard,-160.0808,-160.0808,0.00%,1099.13,2,ok,optimal
ldbd,ipopt,Linf,Transfer,-160.0808,-160.0808,0.00%,829.57,4,ok,optimal
ldsda,conopt,L2,Standard,-inf,-160.0815,inf,108.06,4,ok,locallyOptimal
ldsda,conopt,L2,Transfer,-inf,-160.0815,inf,58.54,2,ok,locallyOptimal
ldsda,conopt,Linf,Standard,-inf,-160.0815,inf,1090.23,2,ok,locallyOptimal
ldsda,conopt,Linf,Transfer,-inf,-160.0815,inf,91.66,2,ok,locallyOptimal
ldsda,ipopt,L2,Standard,-inf,-160.0808,inf,658.77,4,ok,locallyOptimal
ldsda,ipopt,L2,Transfer,-inf,-160.0808,inf,185.37,2,ok,locallyOptimal
ldsda,ipopt,Linf,Standard,-inf,-160.0808,inf,2122.86,2,ok,locallyOptimal
ldsda,ipopt,Linf,Transfer,-inf,-160.0808,inf,670.89,2,ok,locallyOptimal
