Algorithm,Subsolver,Norm,Model,Lower Bound,Upper Bound,Gap (%),Time (s),Iterations,Status,Termination
ldbd,conopt,L2,Standard,-55.9875,-55.9875,0.00%,21.08,3,ok,optimal
ldbd,conopt,L2,Transfer,-122.4237,-122.4237,0.00%,47.46,3,ok,optimal
ldbd,conopt,Linf,Standard,-122.4237,-122.4237,0.00%,163.23,5,ok,optimal
ldbd,conopt,Linf,Transfer,-122.4237,-122.4237,0.00%,66.95,3,ok,optimal
ldbd,ipopt,L2,Standard,-55.9875,-55.9875,0.00%,22.46,3,ok,optimal
ldbd,ipopt,L2,Transfer,-122.4237,-122.4237,0.00%,87.93,3,ok,optimal
ldbd,ipopt,Linf,Standard,-122.4237,-122.4237,0.00%,269.60,4,ok,optimal
ldbd,ipopt,Linf,Transfer,-122.4237,-122.4237,0.00%,173.24,3,ok,optimal
ldsda,conopt,L2,Standard,-inf,-122.4237,inf,80.30,4,ok,locallyOptimal
ldsda,conopt,L2,Transfer,-inf,-122.4237,inf,39.99,2,ok,locallyOptimal
ldsda,conopt,Linf,Standard,-inf,-122.4237,inf,481.60,2,ok,locallyOptimal
ldsda,conopt,Linf,Transfer,-inf,-122.4237,inf,69.20,2,ok,locallyOptimal
ldsda,ipopt,L2,Standard,-inf,-122.4237,inf,173.62,4,ok,locallyOptimal
ldsda,ipopt,L2,Transfer,-inf,-122.4237,inf,66.67,2,ok,locallyOptimal
ldsda,ipopt,Linf,Standard,-inf,-122.4237,inf,580.56,2,ok,locallyOptimal
ldsda,ipopt,Linf,Transfer,-inf,-122.4237,inf,173.48,2,ok,locallyOptimal
